Name (Display),Faith Traditions,Congregations
Canadian Conference <br>of Mennonite <br>Brethren Churches,Anabaptist,256
Evangelical <br>Mennonite <br>Conference,Anabaptist,65
Evangelical Mennonite <br>Mission Conference ,Anabaptist,25
Evangelical Missionary <br>Church of Canada ,Anabaptist,144
Fellowship <br>of Evangelical <br>Bible Churches,Anabaptist,24
Mennonite <br>Church Canada,Anabaptist,208
United Brethren <br>Church in Canada,Anabaptist,12
Be in Christ <br>Church of Canada,"Anabaptist,Holiness",65
Anglican Catholic <br>Church of Canada,Anglican/Episcopal,13
Anglican <br>Network <br>in Canada,"Anglican/Episcopal,Mainline",70
Associated Gospel <br>Churches of Canada,Baptist,152
Baptist General <br>Conference of Canada,Baptist,120
Canadian Baptists <br>of Atlantic Canada,Baptist,442
Canadian Baptists <br>of Ontario & Quebec,Baptist,334
Canadian Baptists <br>of Western Canada,Baptist,161
North American <br>Baptist Conference,Baptist,130
Union d'Églises Baptistes <br>Francophones du Canada,Baptist,35
The Fellowship,Baptist,500
Church of the <br>Nazarene Canada,Holiness,153
Free Methodist <br>Church in Canada,Holiness,150
Salvation <br>Army,Holiness,300
The Christian & Missionary <br>Alliance in Canada,Holiness,440
Wesleyan <br>Church <br>of Canada,Holiness,120
Lutheran <br>Church <br>in Canada,"Lutheran,Mainline",298
Grace Communion <br>International Canada,Other,38
Apostolic Church <br>of Pentecost,Pentecostal/Charismatic,107
Canadian <br>Assemblies <br>of God,Pentecostal/Charismatic,38
Canadian Fellowship <br>of Churches & Ministers,Pentecostal/Charismatic,48
Churches of God <br>in Eastern Canada,Pentecostal/Charismatic,9
Fellowship of <br>Christian Assemblies,Pentecostal/Charismatic,82
Foursquare Gospel <br>Church of Canada,Pentecostal/Charismatic,82
Grace <br>Fellowship <br>Canada,Pentecostal/Charismatic,6
Independent <br>Assemblies of God <br>International Canada,Pentecostal/Charismatic,450
Pentecostal <br>Assemblies <br>of Canada,Pentecostal/Charismatic,1100
Pentecostal Assemblies <br> of Newfoundland <br>& Labrador,Pentecostal/Charismatic,117
Pentecostal Holiness <br>Church of Canada,Pentecostal/Charismatic,21
Vineyard <br>Canada,Pentecostal/Charismatic,41
Evangelical Covenant <br>Church of Canada,Pietist,32
Evangelical Free <br>Church of Canada,Pietist,144
Christian Reformed <br>Church in North America,Reformed,254
Congregational Christian <br>Churches in Canada,Reformed,32
L’Église Réformée <br>du Québec,Reformed,5
Regional Synod <br>of Canada,Reformed,37
Evangelical Christian <br>Church in Canada,Restorationist,10
Vision <br>Ministries <br>Canada,Restorationist,108
